"benchmark","model_key","prompt_id","accuracy","n_observed","n_items","is_complete_prompt_row"
"olym_math","deepseek-anthropic","P01_direct","0.71","100","100","True"
"olym_math","deepseek-anthropic","P02_concise","0.61","100","100","True"
"olym_math","deepseek-anthropic","P03_step_by_step","0.74","100","100","True"
"olym_math","deepseek-anthropic","P04_formal","0.68","100","100","True"
"olym_math","deepseek-anthropic","P05_verify","0.66","100","100","True"
"olym_math","deepseek-anthropic","P06_answer_only","0.64","100","100","True"
"olym_math","deepseek-anthropic","P07_careful","0.71","100","100","True"
"olym_math","deepseek-anthropic","P08_short_proof","0.63","100","100","True"
"olym_math","deepseek-anthropic","P09_competition","0.74","100","100","True"
"olym_math","deepseek-anthropic","P10_independent_check","0.72","100","100","True"
"olym_math","deepseek-anthropic","P11_plan_then_solve","0.72","100","100","True"
"olym_math","deepseek-anthropic","P12_no_guessing","0.68","100","100","True"
"olym_math","deepseek-anthropic","P13_symbolic","0.71","100","100","True"
"olym_math","deepseek-anthropic","P14_work_backwards","0.69","100","100","True"
"olym_math","deepseek-anthropic","P15_cases","0.71","100","100","True"
"olym_math","deepseek-anthropic","P16_invariants","0.73","100","100","True"
"olym_math","deepseek-anthropic","P17_constructive","0.63","100","100","True"
"olym_math","deepseek-anthropic","P18_error_check","0.7","100","100","True"
"olym_math","deepseek-anthropic","P19_minimal_formal","0.63","100","100","True"
"olym_math","deepseek-anthropic","P20_final_line_strict","0.7","100","100","True"
"olym_math","deepseek-anthropic","P21_boxed_only_after_reasoning","0.62","100","100","True"
"olym_math","deepseek-anthropic","P22_no_extra_final_text","0.7","100","100","True"
"olym_math","deepseek-anthropic","P23_extractable_answer","0.7","100","100","True"
"olym_math","deepseek-anthropic","P24_single_box","0.67","100","100","True"
"olym_math","deepseek-anthropic","P25_answer_format_first","0.69","100","100","True"
"olym_math","deepseek-anthropic","P26_strict_output_contract","0.71","100","100","True"
"olym_math","deepseek-anthropic","P27_detailed_solution","0.69","100","100","True"
"olym_math","deepseek-anthropic","P28_medium_detail","0.72","100","100","True"
"olym_math","deepseek-anthropic","P29_lemma_style","0.67","100","100","True"
"olym_math","deepseek-anthropic","P30_equation_focused","0.72","100","100","True"
"olym_math","deepseek-anthropic","P31_explain_key_idea","0.66","100","100","True"
"olym_math","deepseek-anthropic","P32_rigorous_but_brief","0.65","100","100","True"
"olym_math","deepseek-anthropic","P33_constraint_check","0.64","100","100","True"
"olym_math","deepseek-anthropic","P34_boundary_check","0.71","100","100","True"
"olym_math","deepseek-anthropic","P35_sanity_check","0.72","100","100","True"
"olym_math","deepseek-anthropic","P36_substitution_check","0.7","100","100","True"
"olym_math","deepseek-anthropic","P37_mistake_resistant","0.71","100","100","True"
"olym_math","deepseek-anthropic","P38_double_check_final","0.73","100","100","True"
"olym_math","deepseek-anthropic","P39_find_structure","0.71","100","100","True"
"olym_math","deepseek-anthropic","P40_transform_problem","0.71","100","100","True"
"olym_math","deepseek-anthropic","P41_symmetry_search","0.65","100","100","True"
"olym_math","deepseek-anthropic","P42_extreme_principle","0.65","100","100","True"
"olym_math","deepseek-anthropic","P43_auxiliary_object","0.7","100","100","True"
"olym_math","deepseek-anthropic","P44_multiple_strategies","0.8","100","100","True"
"olym_math","deepseek-anthropic","P45_case_complete","0.66","100","100","True"
"olym_math","deepseek-anthropic","P46_construct_and_prove","0.67","100","100","True"
"olym_math","deepseek-anthropic","P47_olympiad_clean","0.66","100","100","True"
"olym_math","deepseek-anthropic","P48_counting_structure","0.73","100","100","True"
"olym_math","deepseek-anthropic","P49_proof_of_optimality","0.71","100","100","True"
"olym_math","deepseek-anthropic","P50_complete_argument","0.66","100","100","True"
