"benchmark","item_id","topic","problem","gold_answer","difficulty","source"
"olym_math","olym_0205","Number theory","A geometric sequence has 20 terms.

The sum of its first two terms is 40 .

The sum of its first three terms is 76 .

The sum of its first four terms is 130 .

Determine how many of the terms in the sequence are integers.

(A geometric sequence is a sequence in which each term after the first is obtained from the previous term by multiplying it by a constant. For example, $3,6,12$ is a geometric sequence with three terms.)","5","Competition","OlympiadBench"
"olym_math","olym_0060","Combinatorics","Players $A$ and $B$ play a game on a blackboard that initially contains 2020 copies of the number 1. In every round, player $A$ erases two numbers $x$ and $y$ from the blackboard, and then player $B$ writes one of the numbers $x+y$ and $|x-y|$ on the blackboard. The game terminates as soon as, at the end of some round, one of the following holds:

(1) one of the numbers on the blackboard is larger than the sum of all other numbers;

(2) there are only zeros on the blackboard.

Player $B$ must then give as many cookies to player $A$ as there are numbers on the blackboard. Player $A$ wants to get as many cookies as possible, whereas player $B$ wants to give as few as possible. Determine the number of cookies that $A$ receives if both players play optimally.","7","Competition","OlympiadBench"
"olym_math","olym_0340","Number theory","There exists a digit $Y$ such that, for any digit $X$, the seven-digit number $\underline{1} \underline{2} \underline{3} \underline{X} \underline{5} \underline{Y} \underline{7}$ is not a multiple of 11. Compute $Y$.","4","Competition","OlympiadBench"
"olym_math","olym_0338","Number theory","Let $n$ be a four-digit number whose square root is three times the sum of the digits of $n$. Compute $n$.","2916","Competition","OlympiadBench"
"olym_math","olym_0604","Geometry","Regular tetrahedra $J A N E, J O H N$, and $J O A N$ have non-overlapping interiors. Compute $\tan \angle H A E$.","\frac{5 \sqrt{2}}{2}","Competition","OlympiadBench"
"olym_math","olym_0376","Number theory","Let $T=11$. Compute the least positive integer $b$ such that, when expressed in base $b$, the number $T$ ! ends in exactly two zeroes.","5","Competition","OlympiadBench"
"olym_math","olym_0309","Algebra","A function $f$ is defined so that

- $f(1)=1$,
- if $n$ is an even positive integer, then $f(n)=f\left(\frac{1}{2} n\right)$, and
- if $n$ is an odd positive integer with $n>1$, then $f(n)=f(n-1)+1$.

For example, $f(34)=f(17)$ and $f(17)=f(16)+1$.

Determine the value of $f(50)$.","3","Competition","OlympiadBench"
"olym_math","olym_0524","Geometry","Quadrilateral $A R M L$ is a kite with $A R=R M=5, A M=8$, and $R L=11$. Compute $A L$.","4 \sqrt{5}","Competition","OlympiadBench"
"olym_math","olym_0240","Algebra","In the series of odd numbers $1+3+5-7-9-11+13+15+17-19-21-23 \ldots$ the signs alternate every three terms, as shown. What is the sum of the first 300 terms of the series?","-900","Competition","OlympiadBench"
"olym_math","olym_0562","Geometry","Six solid regular tetrahedra are placed on a flat surface so that their bases form a regular hexagon $\mathcal{H}$ with side length 1 , and so that the vertices not lying in the plane of $\mathcal{H}$ (the ""top"" vertices) are themselves coplanar. A spherical ball of radius $r$ is placed so that its center is directly above the center of the hexagon. The sphere rests on the tetrahedra so that it is tangent to one edge from each tetrahedron. If the ball's center is coplanar with the top vertices of the tetrahedra, compute $r$.","\frac{\sqrt{2}}{3}","Competition","OlympiadBench"
"olym_math","olym_0251","Combinatorics","A multiplicative partition of a positive integer $n \geq 2$ is a way of writing $n$ as a product of one or more integers, each greater than 1. Note that we consider a positive integer to be a multiplicative partition of itself. Also, the order of the factors in a partition does not matter; for example, $2 \times 3 \times 5$ and $2 \times 5 \times 3$ are considered to be the same partition of 30 . For each positive integer $n \geq 2$, define $P(n)$ to be the number of multiplicative partitions of $n$. We also define $P(1)=1$. Note that $P(40)=7$, since the multiplicative partitions of 40 are $40,2 \times 20,4 \times 10$, $5 \times 8,2 \times 2 \times 10,2 \times 4 \times 5$, and $2 \times 2 \times 2 \times 5$.

(In each part, we use ""partition"" to mean ""multiplicative partition"". We also call the numbers being multiplied together in a given partition the ""parts"" of the partition.)
Determine the value of $P(1000)$.","31","Competition","OlympiadBench"
"olym_math","olym_0018","Algebra","Determine all pairs $(f, g)$ of functions from the set of positive integers to itself that satisfy

$$
f^{g(n)+1}(n)+g^{f(n)}(n)=f(n+1)-g(n+1)+1
$$

for every positive integer $n$. Here, $f^{k}(n)$ means $\underbrace{f(f(\ldots f}_{k}(n) \ldots))$.","f(n)=n$, $g(n)=1","Competition","OlympiadBench"
"olym_math","olym_0586","Geometry","In parallelogram $A R M L$, points $P$ and $Q$ are the midpoints of sides $\overline{R M}$ and $\overline{A L}$, respectively. Point $X$ lies on segment $\overline{P Q}$, and $P X=3, R X=4$, and $P R=5$. Point $I$ lies on segment $\overline{R X}$ such that $I A=I L$. Compute the maximum possible value of $\frac{[P Q R]}{[L I P]}$.","\frac{4}{3}","Competition","OlympiadBench"
"olym_math","olym_0372","Geometry","A bubble in the shape of a hemisphere of radius 1 is on a tabletop. Inside the bubble are five congruent spherical marbles, four of which are sitting on the table and one which rests atop the others. All marbles are tangent to the bubble, and their centers can be connected to form a pyramid with volume $V$ and with a square base. Compute $V$.","\frac{1}{54}","Competition","OlympiadBench"
"olym_math","olym_0122","Algebra","Given a positive integer $n \geq 2$, determine the largest positive integer $N$ for which there exist $N+1$ real numbers $a_{0}, a_{1}, \ldots, a_{N}$ such that

(1) $a_{0}+a_{1}=-\frac{1}{n}$, and

(2) $\left(a_{k}+a_{k-1}\right)\left(a_{k}+a_{k+1}\right)=a_{k-1}-a_{k+1}$ for $1 \leq k \leq N-1$.","N=n","Competition","OlympiadBench"
"olym_math","olym_0564","Algebra","The equations $x^{3}+A x+10=0$ and $x^{3}+B x^{2}+50=0$ have two roots in common. Compute the product of these common roots.","5 \sqrt[3]{4}","Competition","OlympiadBench"
"olym_math","olym_0434","Number theory","For each positive integer $N$, let $P(N)$ denote the product of the digits of $N$. For example, $P(8)=8$, $P(451)=20$, and $P(2023)=0$. Compute the least positive integer $n$ such that $P(n+23)=P(n)+23$.","34","Competition","OlympiadBench"
"olym_math","olym_0560","Number theory","Compute the smallest positive integer $n$ such that $n^{n}$ has at least 1,000,000 positive divisors.","84","Competition","OlympiadBench"
"olym_math","olym_0324","Number theory","Let $N$ be the least integer greater than 20 that is a palindrome in both base 20 and base 14 . For example, the three-digit base-14 numeral (13)5(13) ${ }_{14}$ (representing $13 \cdot 14^{2}+5 \cdot 14^{1}+13 \cdot 14^{0}$ ) is a palindrome in base 14 , but not in base 20 , and the three-digit base-14 numeral (13)31 14 is not a palindrome in base 14 . Compute the base-10 representation of $N$.","105","Competition","OlympiadBench"
"olym_math","olym_0587","Number theory","Given that $a, b, c$, and $d$ are positive integers such that

$$
a ! \cdot b ! \cdot c !=d ! \quad \text { and } \quad a+b+c+d=37
$$

compute the product $a b c d$.","2240","Competition","OlympiadBench"
"olym_math","olym_0211","Combinatorics","For each positive integer $n$, let $T(n)$ be the number of triangles with integer side lengths, positive area, and perimeter $n$. For example, $T(6)=1$ since the only such triangle with a perimeter of 6 has side lengths 2,2 and 2 .
Determine the smallest positive integer $n$ such that $T(n)>2010$.","309","Competition","OlympiadBench"
"olym_math","olym_0355","Number theory","Let $T=\frac{8}{5}$. Let $z_{1}=15+5 i$ and $z_{2}=1+K i$. Compute the smallest positive integral value of $K$ such that $\left|z_{1}-z_{2}\right| \geq 15 T$.","25","Competition","OlympiadBench"
"olym_math","olym_0378","Geometry","Compute the smallest $n$ such that in the regular $n$-gon $A_{1} A_{2} A_{3} \cdots A_{n}, \mathrm{~m} \angle A_{1} A_{20} A_{13}<60^{\circ}$.","37","Competition","OlympiadBench"
"olym_math","olym_0053","Number theory","Denote by $\mathbb{N}$ the set of all positive integers. Find all functions $f: \mathbb{N} \rightarrow \mathbb{N}$ such that for all positive integers $m$ and $n$, the integer $f(m)+f(n)-m n$ is nonzero and divides $m f(m)+n f(n)$.","f(n)=n^{2}","Competition","OlympiadBench"
