"method","benchmark","model_key","mask_type","budget","requested_budget","effective_budget","budget_repaired","mask_id","prompt_id","true_score","pred_score","abs_error"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P01_direct","0.71","0.5","0.20999999999999996"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P02_concise","0.61","1.0","0.39"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P03_step_by_step","0.74","0.7","0.040000000000000036"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P04_formal","0.68","0.6","0.08000000000000007"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P05_verify","0.66","0.6","0.06000000000000005"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P06_answer_only","0.64","0.7","0.05999999999999994"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P07_careful","0.71","0.7","0.010000000000000009"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P08_short_proof","0.63","0.5","0.13"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P09_competition","0.74","0.8","0.06000000000000005"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P10_independent_check","0.72","0.6","0.12"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P11_plan_then_solve","0.72","0.7","0.020000000000000018"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P12_no_guessing","0.68","0.5","0.18000000000000005"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P13_symbolic","0.71","0.7","0.010000000000000009"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P14_work_backwards","0.69","0.8","0.1100000000000001"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P15_cases","0.71","0.6","0.10999999999999999"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P16_invariants","0.73","0.9","0.17000000000000004"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P17_constructive","0.63","0.5","0.13"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P18_error_check","0.7","0.6","0.09999999999999998"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P19_minimal_formal","0.63","0.9","0.27"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P20_final_line_strict","0.7","0.7","0.0"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P21_boxed_only_after_reasoning","0.62","0.6","0.020000000000000018"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P22_no_extra_final_text","0.7","0.6","0.09999999999999998"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P23_extractable_answer","0.7","0.5","0.19999999999999996"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P24_single_box","0.67","0.7","0.029999999999999916"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P25_answer_format_first","0.69","0.7","0.010000000000000009"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P26_strict_output_contract","0.71","0.7","0.010000000000000009"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P27_detailed_solution","0.69","0.6","0.08999999999999997"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P28_medium_detail","0.72","0.7","0.020000000000000018"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P29_lemma_style","0.67","0.8","0.13"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P30_equation_focused","0.72","0.6","0.12"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P31_explain_key_idea","0.66","0.4","0.26"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P32_rigorous_but_brief","0.65","0.6","0.050000000000000044"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P33_constraint_check","0.64","0.8","0.16000000000000003"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P34_boundary_check","0.71","0.8","0.09000000000000008"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P35_sanity_check","0.72","0.6","0.12"
