"benchmark","item_id","topic","problem","gold_answer","prompt_id","prompt_family","prompt_template","prompt_text","difficulty","source"
"olym_math","olym_0205","Number theory","A geometric sequence has 20 terms.

The sum of its first two terms is 40 .

The sum of its first three terms is 76 .

The sum of its first four terms is 130 .

Determine how many of the terms in the sequence are integers.

(A geometric sequence is a sequence in which each term after the first is obtained from the previous term by multiplying it by a constant. For example, $3,6,12$ is a geometric sequence with three terms.)","5","P01_direct","F01_output_control","Solve the following mathematics problem. Give the final answer in the form \boxed{...}.

Problem:
{problem}","Solve the following mathematics problem. Give the final answer in the form \boxed{...}.

Problem:
A geometric sequence has 20 terms.

The sum of its first two terms is 40 .

The sum of its first three terms is 76 .

The sum of its first four terms is 130 .

Determine how many of the terms in the sequence are integers.

(A geometric sequence is a sequence in which each term after the first is obtained from the previous term by multiplying it by a constant. For example, $3,6,12$ is a geometric sequence with three terms.)","Competition","OlympiadBench"
"olym_math","olym_0205","Number theory","A geometric sequence has 20 terms.

The sum of its first two terms is 40 .

The sum of its first three terms is 76 .

The sum of its first four terms is 130 .

Determine how many of the terms in the sequence are integers.

(A geometric sequence is a sequence in which each term after the first is obtained from the previous term by multiplying it by a constant. For example, $3,6,12$ is a geometric sequence with three terms.)","5","P06_answer_only","F01_output_control","Solve the problem. Return only the final answer in the form \boxed{...}. Do not include any explanation.

Problem:
{problem}","Solve the problem. Return only the final answer in the form \boxed{...}. Do not include any explanation.

Problem:
A geometric sequence has 20 terms.

The sum of its first two terms is 40 .

The sum of its first three terms is 76 .

The sum of its first four terms is 130 .

Determine how many of the terms in the sequence are integers.

(A geometric sequence is a sequence in which each term after the first is obtained from the previous term by multiplying it by a constant. For example, $3,6,12$ is a geometric sequence with three terms.)","Competition","OlympiadBench"
"olym_math","olym_0205","Number theory","A geometric sequence has 20 terms.

The sum of its first two terms is 40 .

The sum of its first three terms is 76 .

The sum of its first four terms is 130 .

Determine how many of the terms in the sequence are integers.

(A geometric sequence is a sequence in which each term after the first is obtained from the previous term by multiplying it by a constant. For example, $3,6,12$ is a geometric sequence with three terms.)","5","P19_minimal_formal","F01_output_control","Provide a mathematically valid solution with minimal prose. Use equations and concise justification. End with \boxed{...}.

Problem:
{problem}","Provide a mathematically valid solution with minimal prose. Use equations and concise justification. End with \boxed{...}.

Problem:
A geometric sequence has 20 terms.

The sum of its first two terms is 40 .

The sum of its first three terms is 76 .

The sum of its first four terms is 130 .

Determine how many of the terms in the sequence are integers.

(A geometric sequence is a sequence in which each term after the first is obtained from the previous term by multiplying it by a constant. For example, $3,6,12$ is a geometric sequence with three terms.)","Competition","OlympiadBench"
"olym_math","olym_0205","Number theory","A geometric sequence has 20 terms.

The sum of its first two terms is 40 .

The sum of its first three terms is 76 .

The sum of its first four terms is 130 .

Determine how many of the terms in the sequence are integers.

(A geometric sequence is a sequence in which each term after the first is obtained from the previous term by multiplying it by a constant. For example, $3,6,12$ is a geometric sequence with three terms.)","5","P20_final_line_strict","F01_output_control","Solve the problem. The final line of your response must contain only the final answer in the form \boxed{...}.

Problem:
{problem}","Solve the problem. The final line of your response must contain only the final answer in the form \boxed{...}.

Problem:
A geometric sequence has 20 terms.

The sum of its first two terms is 40 .

The sum of its first three terms is 76 .

The sum of its first four terms is 130 .

Determine how many of the terms in the sequence are integers.

(A geometric sequence is a sequence in which each term after the first is obtained from the previous term by multiplying it by a constant. For example, $3,6,12$ is a geometric sequence with three terms.)","Competition","OlympiadBench"
"olym_math","olym_0205","Number theory","A geometric sequence has 20 terms.

The sum of its first two terms is 40 .

The sum of its first three terms is 76 .

The sum of its first four terms is 130 .

Determine how many of the terms in the sequence are integers.

(A geometric sequence is a sequence in which each term after the first is obtained from the previous term by multiplying it by a constant. For example, $3,6,12$ is a geometric sequence with three terms.)","5","P21_boxed_only_after_reasoning","F01_output_control","Solve the problem. You may show brief reasoning, but the final answer must appear exactly once in the form \boxed{...}.

Problem:
{problem}","Solve the problem. You may show brief reasoning, but the final answer must appear exactly once in the form \boxed{...}.

Problem:
A geometric sequence has 20 terms.

The sum of its first two terms is 40 .

The sum of its first three terms is 76 .

The sum of its first four terms is 130 .

Determine how many of the terms in the sequence are integers.

(A geometric sequence is a sequence in which each term after the first is obtained from the previous term by multiplying it by a constant. For example, $3,6,12$ is a geometric sequence with three terms.)","Competition","OlympiadBench"
"olym_math","olym_0205","Number theory","A geometric sequence has 20 terms.

The sum of its first two terms is 40 .

The sum of its first three terms is 76 .

The sum of its first four terms is 130 .

Determine how many of the terms in the sequence are integers.

(A geometric sequence is a sequence in which each term after the first is obtained from the previous term by multiplying it by a constant. For example, $3,6,12$ is a geometric sequence with three terms.)","5","P22_no_extra_final_text","F01_output_control","Solve the problem. After the solution, write a final line containing only \boxed{...}, with no extra words.

Problem:
{problem}","Solve the problem. After the solution, write a final line containing only \boxed{...}, with no extra words.

Problem:
A geometric sequence has 20 terms.

The sum of its first two terms is 40 .

The sum of its first three terms is 76 .

The sum of its first four terms is 130 .

Determine how many of the terms in the sequence are integers.

(A geometric sequence is a sequence in which each term after the first is obtained from the previous term by multiplying it by a constant. For example, $3,6,12$ is a geometric sequence with three terms.)","Competition","OlympiadBench"
"olym_math","olym_0205","Number theory","A geometric sequence has 20 terms.

The sum of its first two terms is 40 .

The sum of its first three terms is 76 .

The sum of its first four terms is 130 .

Determine how many of the terms in the sequence are integers.

(A geometric sequence is a sequence in which each term after the first is obtained from the previous term by multiplying it by a constant. For example, $3,6,12$ is a geometric sequence with three terms.)","5","P23_extractable_answer","F01_output_control","Solve the problem and make the final answer easy to extract. Use the exact format Final answer: \boxed{...}.

Problem:
{problem}","Solve the problem and make the final answer easy to extract. Use the exact format Final answer: \boxed{...}.

Problem:
A geometric sequence has 20 terms.

The sum of its first two terms is 40 .

The sum of its first three terms is 76 .

The sum of its first four terms is 130 .

Determine how many of the terms in the sequence are integers.

(A geometric sequence is a sequence in which each term after the first is obtained from the previous term by multiplying it by a constant. For example, $3,6,12$ is a geometric sequence with three terms.)","Competition","OlympiadBench"
"olym_math","olym_0205","Number theory","A geometric sequence has 20 terms.

The sum of its first two terms is 40 .

The sum of its first three terms is 76 .

The sum of its first four terms is 130 .

Determine how many of the terms in the sequence are integers.

(A geometric sequence is a sequence in which each term after the first is obtained from the previous term by multiplying it by a constant. For example, $3,6,12$ is a geometric sequence with three terms.)","5","P24_single_box","F01_output_control","Solve the mathematics problem. Use exactly one boxed expression for the final answer and do not box intermediate results.

Problem:
{problem}","Solve the mathematics problem. Use exactly one boxed expression for the final answer and do not box intermediate results.

Problem:
A geometric sequence has 20 terms.

The sum of its first two terms is 40 .

The sum of its first three terms is 76 .

The sum of its first four terms is 130 .

Determine how many of the terms in the sequence are integers.

(A geometric sequence is a sequence in which each term after the first is obtained from the previous term by multiplying it by a constant. For example, $3,6,12$ is a geometric sequence with three terms.)","Competition","OlympiadBench"
"olym_math","olym_0205","Number theory","A geometric sequence has 20 terms.

The sum of its first two terms is 40 .

The sum of its first three terms is 76 .

The sum of its first four terms is 130 .

Determine how many of the terms in the sequence are integers.

(A geometric sequence is a sequence in which each term after the first is obtained from the previous term by multiplying it by a constant. For example, $3,6,12$ is a geometric sequence with three terms.)","5","P25_answer_format_first","F01_output_control","Solve the problem. Before finishing, ensure the answer is simplified and written as \boxed{...}.

Problem:
{problem}","Solve the problem. Before finishing, ensure the answer is simplified and written as \boxed{...}.

Problem:
A geometric sequence has 20 terms.

The sum of its first two terms is 40 .

The sum of its first three terms is 76 .

The sum of its first four terms is 130 .

Determine how many of the terms in the sequence are integers.

(A geometric sequence is a sequence in which each term after the first is obtained from the previous term by multiplying it by a constant. For example, $3,6,12$ is a geometric sequence with three terms.)","Competition","OlympiadBench"
"olym_math","olym_0205","Number theory","A geometric sequence has 20 terms.

The sum of its first two terms is 40 .

The sum of its first three terms is 76 .

The sum of its first four terms is 130 .

Determine how many of the terms in the sequence are integers.

(A geometric sequence is a sequence in which each term after the first is obtained from the previous term by multiplying it by a constant. For example, $3,6,12$ is a geometric sequence with three terms.)","5","P26_strict_output_contract","F01_output_control","Solve the problem under this output contract: reasoning is allowed, but the response must end with exactly one line: \boxed{...}.

Problem:
{problem}","Solve the problem under this output contract: reasoning is allowed, but the response must end with exactly one line: \boxed{...}.

Problem:
A geometric sequence has 20 terms.

The sum of its first two terms is 40 .

The sum of its first three terms is 76 .

The sum of its first four terms is 130 .

Determine how many of the terms in the sequence are integers.

(A geometric sequence is a sequence in which each term after the first is obtained from the previous term by multiplying it by a constant. For example, $3,6,12$ is a geometric sequence with three terms.)","Competition","OlympiadBench"
