"prompt_id","family","prompt_text"
"P01_direct","F01_output_control","Solve the following mathematics problem. Give the final answer in the form \boxed{...}.

Problem:
{problem}"
"P06_answer_only","F01_output_control","Solve the problem. Return only the final answer in the form \boxed{...}. Do not include any explanation.

Problem:
{problem}"
"P19_minimal_formal","F01_output_control","Provide a mathematically valid solution with minimal prose. Use equations and concise justification. End with \boxed{...}.

Problem:
{problem}"
"P20_final_line_strict","F01_output_control","Solve the problem. The final line of your response must contain only the final answer in the form \boxed{...}.

Problem:
{problem}"
"P21_boxed_only_after_reasoning","F01_output_control","Solve the problem. You may show brief reasoning, but the final answer must appear exactly once in the form \boxed{...}.

Problem:
{problem}"
"P22_no_extra_final_text","F01_output_control","Solve the problem. After the solution, write a final line containing only \boxed{...}, with no extra words.

Problem:
{problem}"
"P23_extractable_answer","F01_output_control","Solve the problem and make the final answer easy to extract. Use the exact format Final answer: \boxed{...}.

Problem:
{problem}"
"P24_single_box","F01_output_control","Solve the mathematics problem. Use exactly one boxed expression for the final answer and do not box intermediate results.

Problem:
{problem}"
"P25_answer_format_first","F01_output_control","Solve the problem. Before finishing, ensure the answer is simplified and written as \boxed{...}.

Problem:
{problem}"
"P26_strict_output_contract","F01_output_control","Solve the problem under this output contract: reasoning is allowed, but the response must end with exactly one line: \boxed{...}.

Problem:
{problem}"
"P02_concise","F02_reasoning_depth","Solve the problem with concise reasoning. Avoid unnecessary explanation. End with exactly one final answer in the form \boxed{...}.

Problem:
{problem}"
"P03_step_by_step","F02_reasoning_depth","Solve the following olympiad-style mathematics problem step by step. Show the main reasoning clearly. End with \boxed{...}.

Problem:
{problem}"
"P04_formal","F02_reasoning_depth","Write a rigorous olympiad-style solution. Justify each nontrivial step. End with the final answer in the form \boxed{...}.

Problem:
{problem}"
"P08_short_proof","F02_reasoning_depth","Give a short but complete solution. Include only the essential reasoning. End with \boxed{...}.

Problem:
{problem}"
"P27_detailed_solution","F02_reasoning_depth","Give a detailed mathematical solution. Explain the key transformations and justify the final result. End with \boxed{...}.

Problem:
{problem}"
"P28_medium_detail","F02_reasoning_depth","Solve the problem with a moderate amount of detail. Include enough reasoning to make the answer checkable. End with \boxed{...}.

Problem:
{problem}"
"P29_lemma_style","F02_reasoning_depth","Solve the problem using clear mathematical claims or lemmas if helpful. Keep the proof organized. End with \boxed{...}.

Problem:
{problem}"
"P30_equation_focused","F02_reasoning_depth","Solve the problem with equation-focused reasoning. Use concise prose and show the necessary algebraic or logical steps. End with \boxed{...}.

Problem:
{problem}"
"P31_explain_key_idea","F02_reasoning_depth","Solve the problem and clearly identify the key idea of the solution. Then carry out the computation or proof. End with \boxed{...}.

Problem:
{problem}"
